level1;level2;level3;level4;level5;title_1
blog;2013;2;24;trying-out-octopress;trying-out-octopress
blog;2013;2;27;graphing-bike-path-data-with-ipython-notebook-and-pandas;graphing-bike-path-data-with-ipython-notebook-and-pandas
blog;2013;3;4;transit-maps-1941-vs-2011;transit-maps-1941-vs-2011
blog;2013;4;7;open-data-exchange-2013;open-data-exchange-2013
blog;2013;9;12;pydata-boston-2013;pydata-boston-2013
blog;2013;9;25;julia-seranos-excluded;julia-seranos-excluded
blog;2013;9;26;hacker-school-day-4-c-unit-testing;hacker-school-day-4-c-unit-testing
blog;2013;9;30;hacker-school-day-1-messing-around-with-the-stack-in-c;hacker-school-day-1-messing-around-with-the-stack-in-c
blog;2013;9;30;hacker-school-day-2-what-does-a-shell-even-do;hacker-school-day-2-what-does-a-shell-even-do
blog;2013;10;1;day-2-netcat-fun;day-2-netcat-fun
blog;2013;10;2;day-3-what-does-the-linux-kernel-even-do;day-3-what-does-the-linux-kernel-even-do
blog;2013;10;4;day-4-processes-vs-threads;day-4-processes-vs-threads
blog;2013;10;6;where-to-find-the-bixi-xml-data-feed;where-to-find-the-bixi-xml-data-feed
blog;2013;10;7;day-5-i-wrote-a-kernel-module;day-5-i-wrote-a-kernel-module
blog;2013;10;8;day-6-i-wrote-a-rootkit;day-6-i-wrote-a-rootkit
blog;2013;10;9;day-7-an-echo-server-in-clojure;day-7-an-echo-server-in-clojure
blog;2013;10;12;day-8-julia-writes-julia-and-open-source;day-8-julia-writes-julia-and-open-source
blog;2013;10;14;day-9-bytecode-is-made-of-bytes;day-9-bytecode-is-made-of-bytes
blog;2013;10;16;day-10-goals;day-10-goals
blog;2013;10;16;day-11-how-does-gzip-work;day-11-how-does-gzip-work
blog;2013;10;17;day-12-julia-reflects-on-julia;day-12-julia-reflects-on-julia
blog;2013;10;21;day-13-off-by-one-errors;day-13-off-by-one-errors
blog;2013;10;22;day-14-apparently-i-should-write-tests;day-14-apparently-i-should-write-tests
blog;2013;10;23;day-15-how-gzip-works;day-15-how-gzip-works
blog;2013;10;24;day-16-gzip-plus-poetry-equals-awesome;day-16-gzip-plus-poetry-equals-awesome
blog;2013;10;24;do-rails-programmers-use-node-visualizing-correlations-in-command-usage;do-rails-programmers-use-node-visualizing-correlations-in-command-usage
blog;2013;10;28;day-17-buffer-overflows;day-17-buffer-overflows
blog;2013;10;29;day-18-in-ur-connection;day-18-in-ur-connection
blog;2013;10;31;day-19-i-might-understand-why-networking-is-hard;day-19-i-might-understand-why-networking-is-hard
blog;2013;10;31;day-20-scapy-and-traceroute;day-20-scapy-and-traceroute
blog;2013;11;5;day-21-trying-to-tcp;day-21-trying-to-tcp
blog;2013;11;6;day-22-got-some-tcp-packets-back;day-22-got-some-tcp-packets-back
blog;2013;11;6;day-23-started-writing-a-socket-library;day-23-started-writing-a-socket-library
blog;2013;11;6;nyc-python-talk-slides;nyc-python-talk-slides
blog;2013;11;7;day-24-unit-testing-this-tcp-library;day-24-unit-testing-this-tcp-library
blog;2013;11;12;day-25-ack-all-the-things;day-25-ack-all-the-things
blog;2013;11;12;day-26-trying-to-describe-the-tcp-state-machine;day-26-trying-to-describe-the-tcp-state-machine
blog;2013;11;12;women-in-technology-workshop-at-pydata-nyc;women-in-technology-workshop-at-pydata-nyc
blog;2013;11;13;day-27-magic-testing-functions;day-27-magic-testing-functions
blog;2013;11;15;day-28-more-git-workflow-pictures;day-28-more-git-workflow-pictures
blog;2013;11;18;day-29-trying-out-emacs;day-29-trying-out-emacs
blog;2013;11;19;day-30-making-music-in-clojure-with-overtone;day-30-making-music-in-clojure-with-overtone
blog;2013;11;20;day-31-logic-programming-pretty-music;day-31-logic-programming-pretty-music
blog;2013;11;21;day-32-magical-orchestra;day-32-magical-orchestra
blog;2013;11;25;day-33-how-to-make-music-with-clojurescript;day-33-how-to-make-music-with-clojurescript
blog;2013;11;26;day-34-the-tiniest-operating-system;day-34-the-tiniest-operating-system
blog;2013;11;27;day-34b-wrapping-up-the-tcp-stack;day-34b-wrapping-up-the-tcp-stack
blog;2013;11;29;what-happens-when-you-run-a-unix-program;what-happens-when-you-run-a-unix-program
blog;2013;11;29;writing-an-os-using-rustboot-and-rust-core;writing-an-os-using-rustboot-and-rust-core
blog;2013;11;30;videos-from-pydata-nyc-are-up;videos-from-pydata-nyc-are-up
blog;2013;12;1;how-to-call-rust-from-assembly;how-to-call-rust-from-assembly
blog;2013;12;2;types-in-rust;types-in-rust
blog;2013;12;3;day-36-programming-without-malloc;day-36-programming-without-malloc
blog;2013;12;4;day-37-how-a-keyboard-works;day-37-how-a-keyboard-works
blog;2013;12;6;day-38-after-7-days;day-38-after-7-days
blog;2013;12;10;day-39-i-wrote-a-malloc;day-39-i-wrote-a-malloc
blog;2013;12;10;day-40-12-things-i-learned-today-about-linkers;day-40-12-things-i-learned-today-about-linkers
blog;2013;12;10;day-40-learning-about-linkers;day-40-learning-about-linkers
